"Points:0","Points:1","Points:2"
17.4655,-76.184,-51.562
17.5756,-75.9296,-50.7801
17.1265,-76.0282,-50.2958
16.2039,-76.4818,-50.264
26.2849,-71.8119,-59.6015
25.6687,-72.2635,-59.8398
26.7696,-71.4635,-60.3041
26.0951,-71.974,-60.3809
26.9193,-71.3004,-59.4824
26.5439,-71.5516,-58.889
25.8172,-72.1407,-58.926
28.5653,-68.4778,-56.0515
28.0359,-69.2224,-56.167
28.5401,-68.9845,-56.9263
29.0613,-68.2995,-56.8739
29.1036,-67.6835,-55.924
28.6165,-67.7819,-55.1306
28.1505,-68.5881,-55.3547
30.5586,-65.3652,-55.7509
30.0217,-66.1801,-55.7039
31.0994,-64.8694,-56.1341
30.8118,-65.5108,-56.3088
30.4733,-66.071,-56.3823
30.7875,-64.7622,-55.5482
30.454,-64.6544,-54.9569
30,-65.4916,-54.9631
35.3378,-61.1409,-59.157
34.6139,-61.7718,-58.6605
34.9872,-61.0226,-58.5798
35.2254,-60.3997,-58.4161
34.0241,-61.8572,-57.9105
34.4777,-61.03,-57.9044
16.7328,-74.6784,-46.4637
15.9452,-75.116,-46.3917
16.7377,-74.967,-46.9842
17.3859,-74.5456,-46.9848
17.4091,-74.0286,-46.1924
16.79,-74.0726,-45.5821
16.0885,-74.7316,-45.8795
13.1084,-72.5198,-41.0472
12.45,-73.1804,-41.2631
13.2541,-73.202,-41.7914
13.835,-72.5891,-41.6026
13.7008,-71.8473,-40.8561
12.9668,-71.7678,-40.3124
12.3328,-72.4491,-40.5025
22.6923,-72.3749,-51.1893
23.2369,-72.1289,-51.7144
23.8146,-71.4359,-51.547
23.1366,-71.8679,-51.092
23.7238,-71.155,-50.9637
22.7195,-71.9477,-50.5187
23.2903,-71.2344,-50.3632
21.4195,-69.773,-46.1433
20.882,-70.5377,-46.1786
21.4395,-70.4817,-46.8332
21.994,-69.6975,-46.8251
21.8672,-68.9659,-46.0668
21.2942,-68.9915,-45.3848
20.7722,-69.8167,-45.4062
22.1825,-65.3187,-44.4203
21.8021,-66.1983,-44.3485
22.912,-64.5676,-45.0184
22.458,-66.045,-45.0635
22.8177,-65.2048,-45.1399
