"Points:0","Points:1","Points:2"
182.527,119.038,63.7123
182.969,120.012,63.0632
184.65,120.154,62.6126
191.686,119.92,63.5894
191.5,119.39,64.1912
192.458,119.958,64.0479
194.279,121.175,63.4243
193.25,120.437,63.9149
195.511,121.363,63.7799
180.012,121.443,63.2336
196.076,122.018,63.4386
197.518,122.353,63.8403
196.769,121.641,64.3008
197.232,123.096,63.2435
198.329,123.124,63.7132
198.663,122.539,64.2938
176.95,123.454,63.5558
197.982,124.127,63.2391
199.432,123.441,63.9849
174.925,125.182,63.3978
177.291,124.896,62.6008
197.791,125.367,63.1103
198.766,124.955,63.4369
198.62,125.974,63.4676
174.257,126.996,62.5553
197.437,127.043,63.3166
171.189,127.802,63.3588
170.187,128.425,63.5254
195.785,128.572,63.2766
197.378,127.826,63.5388
193.963,129.264,62.9262
169.108,129.434,63.5181
195.273,129.725,63.5995
168.045,130.524,63.4938
193.689,131.087,63.9185
193.954,130.427,63.5518
167.3,130.958,64.0819
166.721,131.572,64.2556
190.599,131.876,63.176
192.313,131.628,63.7874
166.009,132.493,64.0732
187.494,133.025,63.3424
189.909,132.699,63.8598
191.988,132.193,64.2345
164.664,134.068,63.7581
179.699,134.517,63.3289
180.576,134.179,63.932
180.916,134.372,63.1832
182.424,134.084,63.6652
183.57,133.971,63.2517
184.205,133.761,64.0914
185.239,133.65,64.2972
186.107,133.554,64.1157
187.326,133.372,64.0476
163.768,134.949,63.4858
175.273,135.639,63.0598
175.07,135.305,64.5915
176.711,134.777,64.336
162.542,136.455,63.2394
162.985,135.825,63.5312
174.001,135.9,63.9571
162.205,137.284,62.9479
163.228,137.153,63.4233
163.801,136.657,63.9163
164.524,136.919,64.004
169.7,137.099,64.0422
171.115,136.877,63.0415
172.105,136.667,62.8836
163.816,137.765,63.1761
165.018,137.371,63.6916
166.689,137.562,63.5798
168.054,137.398,63.9544
184.505,117.087,64.9191
184.845,116.704,65.3633
181.962,117.87,64.7182
182.94,117.548,64.728
184.866,118.028,64.0566
186.292,116.931,65.1842
186.421,118.009,64.0846
187.621,118.053,64.1764
