"Points:0","Points:1","Points:2"
72.5191,-2.24711,-104.793
65.9531,-23.7575,-82.3761
70.0573,2.24918,-86.9358
71.689,9.69867,-91.1967
59.6291,-16.9507,-66.9331
55.0961,-11.5786,-60.2252
51.8501,-9.30818,-55.6589
50.8657,4.9524,-51.2734
53.6578,6.37982,-53.6785
54.663,8.70395,-54.3843
67.2434,3.79174,-74.5153
67.8436,9.00621,-74.3987
69.1687,15.7096,-77.1989
68.9137,14.2241,-76.4825
56.69,10.022,-56.314
57.5087,15.9828,-56.94
71.2969,39.6113,-84.4868
77.765,36.4656,-123.043
74.8879,41.037,-96.7336
73.9871,44.7958,-90.8097
70.4058,60.5519,-76.9161
24.5492,10.8949,-34.9529
25.9106,18.492,-39.1311
30.7476,19.1105,-41.7133
23.5359,25.8685,-40.5549
24.3591,25.9963,-41.0584
22.8137,29.6937,-41.4044
23.2614,28.8904,-41.4045
24.1604,30.3657,-41.6087
30.5606,30.1416,-42.0266
16.5643,23.0923,-32.1301
18.3252,32.1306,-40.1171
19.2134,32.5876,-40.9146
19.5561,31.3862,-40.5884
21.1744,27.4846,-39.6313
27.6734,32.4845,-41.4991
45.054,7.43588,-46.2957
46.8049,12.5228,-48.0021
47.0958,17.8695,-48.9177
48.7609,19.8468,-50.377
42.6135,26.1074,-47.2075
42.9661,34.3275,-46.2235
45.5418,38.1033,-45.8261
57.6848,33.9166,-60.4938
59.134,38.4106,-61.7532
51.9951,41.5592,-52.5244
21.5032,40.9372,-41.6612
31.4451,46.5662,-36.7709
25.3893,52.7705,-35.6299
26.4403,52.83,-35.6009
26.1979,53.615,-34.8686
20.9997,58.0236,-27.3734
20.8623,58.8356,-26.6485
27.6405,67.5837,-26.8783
35.597,39.0015,-39.5302
34.9811,40.4878,-38.8219
38.2345,44.8927,-37.9785
39.973,38.0607,-41.4929
40.1146,37.3186,-42.2273
39.7381,38.8759,-40.882
40.6958,42.5468,-39.9532
39.066,48.6187,-37.4879
37.9999,49.5482,-36.9498
59.4176,46.7243,-58.1007
60.3814,47.9278,-58.4022
